TimeID,Hour24,Hour12,Minute,Second,AMPM,FullTime24,FullTime12,TimeOfDay
141,0,12,1,41,AM,0:01:41,12:01:41 AM,Night
142,0,12,1,42,AM,0:01:42,12:01:42 AM,Night
143,0,12,1,43,AM,0:01:43,12:01:43 AM,Night
144,0,12,1,44,AM,0:01:44,12:01:44 AM,Night
145,0,12,1,45,AM,0:01:45,12:01:45 AM,Night
146,0,12,1,46,AM,0:01:46,12:01:46 AM,Night
147,0,12,1,47,AM,0:01:47,12:01:47 AM,Night
148,0,12,1,48,AM,0:01:48,12:01:48 AM,Night
149,0,12,1,49,AM,0:01:49,12:01:49 AM,Night
150,0,12,1,50,AM,0:01:50,12:01:50 AM,Night
151,0,12,1,51,AM,0:01:51,12:01:51 AM,Night
152,0,12,1,52,AM,0:01:52,12:01:52 AM,Night
153,0,12,1,53,AM,0:01:53,12:01:53 AM,Night
154,0,12,1,54,AM,0:01:54,12:01:54 AM,Night
155,0,12,1,55,AM,0:01:55,12:01:55 AM,Night
156,0,12,1,56,AM,0:01:56,12:01:56 AM,Night
157,0,12,1,57,AM,0:01:57,12:01:57 AM,Night
158,0,12,1,58,AM,0:01:58,12:01:58 AM,Night
159,0,12,1,59,AM,0:01:59,12:01:59 AM,Night
200,0,12,2,0,AM,0:02:00,12:02:00 AM,Night
201,0,12,2,1,AM,0:02:01,12:02:01 AM,Night
202,0,12,2,2,AM,0:02:02,12:02:02 AM,Night
203,0,12,2,3,AM,0:02:03,12:02:03 AM,Night
204,0,12,2,4,AM,0:02:04,12:02:04 AM,Night
205,0,12,2,5,AM,0:02:05,12:02:05 AM,Night
206,0,12,2,6,AM,0:02:06,12:02:06 AM,Night
207,0,12,2,7,AM,0:02:07,12:02:07 AM,Night
208,0,12,2,8,AM,0:02:08,12:02:08 AM,Night
209,0,12,2,9,AM,0:02:09,12:02:09 AM,Night
210,0,12,2,10,AM,0:02:10,12:02:10 AM,Night
211,0,12,2,11,AM,0:02:11,12:02:11 AM,Night
212,0,12,2,12,AM,0:02:12,12:02:12 AM,Night
213,0,12,2,13,AM,0:02:13,12:02:13 AM,Night
214,0,12,2,14,AM,0:02:14,12:02:14 AM,Night
215,0,12,2,15,AM,0:02:15,12:02:15 AM,Night
216,0,12,2,16,AM,0:02:16,12:02:16 AM,Night
217,0,12,2,17,AM,0:02:17,12:02:17 AM,Night
218,0,12,2,18,AM,0:02:18,12:02:18 AM,Night
219,0,12,2,19,AM,0:02:19,12:02:19 AM,Night
220,0,12,2,20,AM,0:02:20,12:02:20 AM,Night
221,0,12,2,21,AM,0:02:21,12:02:21 AM,Night
222,0,12,2,22,AM,0:02:22,12:02:22 AM,Night
223,0,12,2,23,AM,0:02:23,12:02:23 AM,Night
224,0,12,2,24,AM,0:02:24,12:02:24 AM,Night
225,0,12,2,25,AM,0:02:25,12:02:25 AM,Night
226,0,12,2,26,AM,0:02:26,12:02:26 AM,Night
227,0,12,2,27,AM,0:02:27,12:02:27 AM,Night
228,0,12,2,28,AM,0:02:28,12:02:28 AM,Night
229,0,12,2,29,AM,0:02:29,12:02:29 AM,Night
230,0,12,2,30,AM,0:02:30,12:02:30 AM,Night
231,0,12,2,31,AM,0:02:31,12:02:31 AM,Night
232,0,12,2,32,AM,0:02:32,12:02:32 AM,Night
233,0,12,2,33,AM,0:02:33,12:02:33 AM,Night
234,0,12,2,34,AM,0:02:34,12:02:34 AM,Night
235,0,12,2,35,AM,0:02:35,12:02:35 AM,Night
236,0,12,2,36,AM,0:02:36,12:02:36 AM,Night
237,0,12,2,37,AM,0:02:37,12:02:37 AM,Night
238,0,12,2,38,AM,0:02:38,12:02:38 AM,Night
239,0,12,2,39,AM,0:02:39,12:02:39 AM,Night
240,0,12,2,40,AM,0:02:40,12:02:40 AM,Night
241,0,12,2,41,AM,0:02:41,12:02:41 AM,Night
242,0,12,2,42,AM,0:02:42,12:02:42 AM,Night
243,0,12,2,43,AM,0:02:43,12:02:43 AM,Night
244,0,12,2,44,AM,0:02:44,12:02:44 AM,Night
245,0,12,2,45,AM,0:02:45,12:02:45 AM,Night
246,0,12,2,46,AM,0:02:46,12:02:46 AM,Night
247,0,12,2,47,AM,0:02:47,12:02:47 AM,Night
248,0,12,2,48,AM,0:02:48,12:02:48 AM,Night
249,0,12,2,49,AM,0:02:49,12:02:49 AM,Night
250,0,12,2,50,AM,0:02:50,12:02:50 AM,Night
251,0,12,2,51,AM,0:02:51,12:02:51 AM,Night
252,0,12,2,52,AM,0:02:52,12:02:52 AM,Night
253,0,12,2,53,AM,0:02:53,12:02:53 AM,Night
254,0,12,2,54,AM,0:02:54,12:02:54 AM,Night
255,0,12,2,55,AM,0:02:55,12:02:55 AM,Night
256,0,12,2,56,AM,0:02:56,12:02:56 AM,Night
257,0,12,2,57,AM,0:02:57,12:02:57 AM,Night
258,0,12,2,58,AM,0:02:58,12:02:58 AM,Night
259,0,12,2,59,AM,0:02:59,12:02:59 AM,Night
300,0,12,3,0,AM,0:03:00,12:03:00 AM,Night
301,0,12,3,1,AM,0:03:01,12:03:01 AM,Night
302,0,12,3,2,AM,0:03:02,12:03:02 AM,Night
303,0,12,3,3,AM,0:03:03,12:03:03 AM,Night
304,0,12,3,4,AM,0:03:04,12:03:04 AM,Night
305,0,12,3,5,AM,0:03:05,12:03:05 AM,Night
306,0,12,3,6,AM,0:03:06,12:03:06 AM,Night
307,0,12,3,7,AM,0:03:07,12:03:07 AM,Night
308,0,12,3,8,AM,0:03:08,12:03:08 AM,Night
309,0,12,3,9,AM,0:03:09,12:03:09 AM,Night
310,0,12,3,10,AM,0:03:10,12:03:10 AM,Night
311,0,12,3,11,AM,0:03:11,12:03:11 AM,Night
312,0,12,3,12,AM,0:03:12,12:03:12 AM,Night
313,0,12,3,13,AM,0:03:13,12:03:13 AM,Night
314,0,12,3,14,AM,0:03:14,12:03:14 AM,Night
315,0,12,3,15,AM,0:03:15,12:03:15 AM,Night
316,0,12,3,16,AM,0:03:16,12:03:16 AM,Night
317,0,12,3,17,AM,0:03:17,12:03:17 AM,Night
318,0,12,3,18,AM,0:03:18,12:03:18 AM,Night
319,0,12,3,19,AM,0:03:19,12:03:19 AM,Night
320,0,12,3,20,AM,0:03:20,12:03:20 AM,Night
321,0,12,3,21,AM,0:03:21,12:03:21 AM,Night
322,0,12,3,22,AM,0:03:22,12:03:22 AM,Night
323,0,12,3,23,AM,0:03:23,12:03:23 AM,Night
324,0,12,3,24,AM,0:03:24,12:03:24 AM,Night
325,0,12,3,25,AM,0:03:25,12:03:25 AM,Night
326,0,12,3,26,AM,0:03:26,12:03:26 AM,Night
327,0,12,3,27,AM,0:03:27,12:03:27 AM,Night
328,0,12,3,28,AM,0:03:28,12:03:28 AM,Night
329,0,12,3,29,AM,0:03:29,12:03:29 AM,Night
330,0,12,3,30,AM,0:03:30,12:03:30 AM,Night
331,0,12,3,31,AM,0:03:31,12:03:31 AM,Night
332,0,12,3,32,AM,0:03:32,12:03:32 AM,Night
333,0,12,3,33,AM,0:03:33,12:03:33 AM,Night
334,0,12,3,34,AM,0:03:34,12:03:34 AM,Night
335,0,12,3,35,AM,0:03:35,12:03:35 AM,Night
336,0,12,3,36,AM,0:03:36,12:03:36 AM,Night
337,0,12,3,37,AM,0:03:37,12:03:37 AM,Night
338,0,12,3,38,AM,0:03:38,12:03:38 AM,Night
339,0,12,3,39,AM,0:03:39,12:03:39 AM,Night
340,0,12,3,40,AM,0:03:40,12:03:40 AM,Night
341,0,12,3,41,AM,0:03:41,12:03:41 AM,Night
342,0,12,3,42,AM,0:03:42,12:03:42 AM,Night
343,0,12,3,43,AM,0:03:43,12:03:43 AM,Night
344,0,12,3,44,AM,0:03:44,12:03:44 AM,Night
345,0,12,3,45,AM,0:03:45,12:03:45 AM,Night
346,0,12,3,46,AM,0:03:46,12:03:46 AM,Night
347,0,12,3,47,AM,0:03:47,12:03:47 AM,Night
348,0,12,3,48,AM,0:03:48,12:03:48 AM,Night
349,0,12,3,49,AM,0:03:49,12:03:49 AM,Night
350,0,12,3,50,AM,0:03:50,12:03:50 AM,Night
351,0,12,3,51,AM,0:03:51,12:03:51 AM,Night
352,0,12,3,52,AM,0:03:52,12:03:52 AM,Night
353,0,12,3,53,AM,0:03:53,12:03:53 AM,Night
354,0,12,3,54,AM,0:03:54,12:03:54 AM,Night
355,0,12,3,55,AM,0:03:55,12:03:55 AM,Night
356,0,12,3,56,AM,0:03:56,12:03:56 AM,Night
357,0,12,3,57,AM,0:03:57,12:03:57 AM,Night
358,0,12,3,58,AM,0:03:58,12:03:58 AM,Night
359,0,12,3,59,AM,0:03:59,12:03:59 AM,Night
400,0,12,4,0,AM,0:04:00,12:04:00 AM,Night
401,0,12,4,1,AM,0:04:01,12:04:01 AM,Night
402,0,12,4,2,AM,0:04:02,12:04:02 AM,Night
403,0,12,4,3,AM,0:04:03,12:04:03 AM,Night
404,0,12,4,4,AM,0:04:04,12:04:04 AM,Night
405,0,12,4,5,AM,0:04:05,12:04:05 AM,Night
406,0,12,4,6,AM,0:04:06,12:04:06 AM,Night
407,0,12,4,7,AM,0:04:07,12:04:07 AM,Night
408,0,12,4,8,AM,0:04:08,12:04:08 AM,Night
409,0,12,4,9,AM,0:04:09,12:04:09 AM,Night
410,0,12,4,10,AM,0:04:10,12:04:10 AM,Night
411,0,12,4,11,AM,0:04:11,12:04:11 AM,Night
412,0,12,4,12,AM,0:04:12,12:04:12 AM,Night
413,0,12,4,13,AM,0:04:13,12:04:13 AM,Night
414,0,12,4,14,AM,0:04:14,12:04:14 AM,Night
415,0,12,4,15,AM,0:04:15,12:04:15 AM,Night
416,0,12,4,16,AM,0:04:16,12:04:16 AM,Night
417,0,12,4,17,AM,0:04:17,12:04:17 AM,Night
418,0,12,4,18,AM,0:04:18,12:04:18 AM,Night
419,0,12,4,19,AM,0:04:19,12:04:19 AM,Night
420,0,12,4,20,AM,0:04:20,12:04:20 AM,Night
421,0,12,4,21,AM,0:04:21,12:04:21 AM,Night
422,0,12,4,22,AM,0:04:22,12:04:22 AM,Night
423,0,12,4,23,AM,0:04:23,12:04:23 AM,Night
424,0,12,4,24,AM,0:04:24,12:04:24 AM,Night
425,0,12,4,25,AM,0:04:25,12:04:25 AM,Night
426,0,12,4,26,AM,0:04:26,12:04:26 AM,Night
427,0,12,4,27,AM,0:04:27,12:04:27 AM,Night
428,0,12,4,28,AM,0:04:28,12:04:28 AM,Night
429,0,12,4,29,AM,0:04:29,12:04:29 AM,Night
430,0,12,4,30,AM,0:04:30,12:04:30 AM,Night
431,0,12,4,31,AM,0:04:31,12:04:31 AM,Night
432,0,12,4,32,AM,0:04:32,12:04:32 AM,Night
433,0,12,4,33,AM,0:04:33,12:04:33 AM,Night
434,0,12,4,34,AM,0:04:34,12:04:34 AM,Night
435,0,12,4,35,AM,0:04:35,12:04:35 AM,Night
436,0,12,4,36,AM,0:04:36,12:04:36 AM,Night
437,0,12,4,37,AM,0:04:37,12:04:37 AM,Night
438,0,12,4,38,AM,0:04:38,12:04:38 AM,Night
439,0,12,4,39,AM,0:04:39,12:04:39 AM,Night
440,0,12,4,40,AM,0:04:40,12:04:40 AM,Night
441,0,12,4,41,AM,0:04:41,12:04:41 AM,Night
442,0,12,4,42,AM,0:04:42,12:04:42 AM,Night
443,0,12,4,43,AM,0:04:43,12:04:43 AM,Night
444,0,12,4,44,AM,0:04:44,12:04:44 AM,Night
445,0,12,4,45,AM,0:04:45,12:04:45 AM,Night
446,0,12,4,46,AM,0:04:46,12:04:46 AM,Night
447,0,12,4,47,AM,0:04:47,12:04:47 AM,Night
448,0,12,4,48,AM,0:04:48,12:04:48 AM,Night
449,0,12,4,49,AM,0:04:49,12:04:49 AM,Night
450,0,12,4,50,AM,0:04:50,12:04:50 AM,Night
451,0,12,4,51,AM,0:04:51,12:04:51 AM,Night
452,0,12,4,52,AM,0:04:52,12:04:52 AM,Night
453,0,12,4,53,AM,0:04:53,12:04:53 AM,Night
454,0,12,4,54,AM,0:04:54,12:04:54 AM,Night
455,0,12,4,55,AM,0:04:55,12:04:55 AM,Night
456,0,12,4,56,AM,0:04:56,12:04:56 AM,Night
457,0,12,4,57,AM,0:04:57,12:04:57 AM,Night
458,0,12,4,58,AM,0:04:58,12:04:58 AM,Night
459,0,12,4,59,AM,0:04:59,12:04:59 AM,Night
500,0,12,5,0,AM,0:05:00,12:05:00 AM,Night
501,0,12,5,1,AM,0:05:01,12:05:01 AM,Night
502,0,12,5,2,AM,0:05:02,12:05:02 AM,Night
503,0,12,5,3,AM,0:05:03,12:05:03 AM,Night
504,0,12,5,4,AM,0:05:04,12:05:04 AM,Night
505,0,12,5,5,AM,0:05:05,12:05:05 AM,Night
506,0,12,5,6,AM,0:05:06,12:05:06 AM,Night
507,0,12,5,7,AM,0:05:07,12:05:07 AM,Night
508,0,12,5,8,AM,0:05:08,12:05:08 AM,Night
509,0,12,5,9,AM,0:05:09,12:05:09 AM,Night
510,0,12,5,10,AM,0:05:10,12:05:10 AM,Night
511,0,12,5,11,AM,0:05:11,12:05:11 AM,Night
512,0,12,5,12,AM,0:05:12,12:05:12 AM,Night
513,0,12,5,13,AM,0:05:13,12:05:13 AM,Night
514,0,12,5,14,AM,0:05:14,12:05:14 AM,Night
515,0,12,5,15,AM,0:05:15,12:05:15 AM,Night
516,0,12,5,16,AM,0:05:16,12:05:16 AM,Night
517,0,12,5,17,AM,0:05:17,12:05:17 AM,Night
518,0,12,5,18,AM,0:05:18,12:05:18 AM,Night
519,0,12,5,19,AM,0:05:19,12:05:19 AM,Night
520,0,12,5,20,AM,0:05:20,12:05:20 AM,Night
521,0,12,5,21,AM,0:05:21,12:05:21 AM,Night
522,0,12,5,22,AM,0:05:22,12:05:22 AM,Night
523,0,12,5,23,AM,0:05:23,12:05:23 AM,Night
524,0,12,5,24,AM,0:05:24,12:05:24 AM,Night
525,0,12,5,25,AM,0:05:25,12:05:25 AM,Night
526,0,12,5,26,AM,0:05:26,12:05:26 AM,Night
527,0,12,5,27,AM,0:05:27,12:05:27 AM,Night
528,0,12,5,28,AM,0:05:28,12:05:28 AM,Night
529,0,12,5,29,AM,0:05:29,12:05:29 AM,Night
530,0,12,5,30,AM,0:05:30,12:05:30 AM,Night
531,0,12,5,31,AM,0:05:31,12:05:31 AM,Night
532,0,12,5,32,AM,0:05:32,12:05:32 AM,Night
533,0,12,5,33,AM,0:05:33,12:05:33 AM,Night
534,0,12,5,34,AM,0:05:34,12:05:34 AM,Night
535,0,12,5,35,AM,0:05:35,12:05:35 AM,Night
536,0,12,5,36,AM,0:05:36,12:05:36 AM,Night
537,0,12,5,37,AM,0:05:37,12:05:37 AM,Night
538,0,12,5,38,AM,0:05:38,12:05:38 AM,Night
539,0,12,5,39,AM,0:05:39,12:05:39 AM,Night
540,0,12,5,40,AM,0:05:40,12:05:40 AM,Night
541,0,12,5,41,AM,0:05:41,12:05:41 AM,Night
542,0,12,5,42,AM,0:05:42,12:05:42 AM,Night
543,0,12,5,43,AM,0:05:43,12:05:43 AM,Night
544,0,12,5,44,AM,0:05:44,12:05:44 AM,Night
545,0,12,5,45,AM,0:05:45,12:05:45 AM,Night
546,0,12,5,46,AM,0:05:46,12:05:46 AM,Night
547,0,12,5,47,AM,0:05:47,12:05:47 AM,Night
548,0,12,5,48,AM,0:05:48,12:05:48 AM,Night
549,0,12,5,49,AM,0:05:49,12:05:49 AM,Night
550,0,12,5,50,AM,0:05:50,12:05:50 AM,Night
551,0,12,5,51,AM,0:05:51,12:05:51 AM,Night
552,0,12,5,52,AM,0:05:52,12:05:52 AM,Night
553,0,12,5,53,AM,0:05:53,12:05:53 AM,Night
554,0,12,5,54,AM,0:05:54,12:05:54 AM,Night
555,0,12,5,55,AM,0:05:55,12:05:55 AM,Night
556,0,12,5,56,AM,0:05:56,12:05:56 AM,Night
557,0,12,5,57,AM,0:05:57,12:05:57 AM,Night
